internship_title,company_name,location,start_date,duration,stipend,sector_name,field_name,skills_set,detailed_description
Research Analyst,Virtue Market Research,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Consulting Services, Aviation & Defence","Business Analytics & Market Research, Strategy & Corporate Development","Market Research, Data Analysis, Competitive Intelligence, Report Writing",Conduct comprehensive market research and competitor analysis to gather industry insights. Synthesize data into actionable reports and presentations to support strategic decision-making.
UI/UX Figma Design,EdSlash,Work From Home,Immediately,6 Months,"₹ 1,000-2,000 /month","Media, Entertainment & Education, IT and Software Development","UI/UX & Product Design, Graphic Design & Visual Communication","Figma, Wireframing, Prototyping, User Research","Design intuitive user interfaces and user experiences for educational platforms using Figma. Create wireframes, interactive prototypes, and design systems in collaboration with product teams."
Search Engine Optimization (SEO),Sargamstaan,Delhi,Immediately,6 Months,"₹ 2,000-8,000 /month","Media, Entertainment & Education, IT and Software Development","Digital Marketing & SEO/SEM, Content Strategy & Copywriting","SEO, Google Search Console, Keyword Research, On-Page Optimization",Implement on-page and off-page SEO strategies to enhance search engine rankings for cultural and media content. Monitor web traffic metrics and perform regular keyword audits.
Social Media Marketing,Sagar Kari,Mumbai,Immediately,6 Months,"₹ 5,000-10,000 /month","Media, Entertainment & Education, Retail & Consumer Durables","Social Media & Community Management, Brand Management & Advertising","Social Media Management, Content Creation, Instagram Marketing, Community Engagement","Manage social media channels, create engaging posts, and interact with the online community to build brand presence. Track engagement metrics to refine social media strategies."
Content Writing,Digital Estate,Delhi,Immediately,6 Months,"₹ 8,000 /month","Media, Entertainment & Education, Consulting Services","Content Strategy & Copywriting, Digital Marketing & SEO/SEM","Content Writing, Copywriting, Editing, Proofreading","Write original articles, website copy, and marketing materials tailored for real estate and estate management platforms. Ensure high quality, clarity, and grammatical accuracy across all written assets."
Search Engine Optimization (SEO),Cyberbizz Technologies,Noida,Immediately,6 Months,"₹ 3,000-5,000 /month","IT and Software Development, Consulting Services","Digital Marketing & SEO/SEM, Content Strategy & Copywriting","SEO, Link Building, Technical SEO, Analytics",Execute optimization tactics to boost clients' search engine visibility and drive organic traffic. Conduct technical site audits and implement corrective measures.
Graphic Design,Techgrah Consulting,Lucknow,Immediately,6 Months,"₹ 6,000 /month","Consulting Services, Media, Entertainment & Education","Graphic Design & Visual Communication, UI/UX & Product Design","Adobe Photoshop, Illustrator, Graphic Design, Visual Communication","Design creative visual assets for marketing campaigns, corporate presentations, and branding collateral. Collaborate with consultants to ensure designs align with client brand guidelines."
Social Media Marketing,Helpee,Chennai,Immediately,6 Months,"₹ 5,000-7,000 /month","IT and Software Development, Retail & Consumer Durables","Social Media & Community Management, Digital Marketing & SEO/SEM","Social Media Marketing, Content Planning, Brand Promotion, Analytics",Develop and execute social media campaigns to promote user engagement and awareness for the Helpee platform. Monitor community feedback and respond to user queries promptly.
Product Research,M Vijay Raghavan,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Retail & Consumer Durables, Consulting Services","Business Analytics & Market Research, Product Management","Product Research, Data Analysis, Market Research, Excel","Perform comprehensive research on consumer products, market trends, and pricing strategies. Analyze competitor offerings and compile insights to assist in product development decisions."
Recruitment,Aviation Indeed,Gurgaon,Immediately,6 Months,"₹ 5,000 /month","Aviation & Defence, Consulting Services","Talent Acquisition & Technical Recruitment, Human Resources (HR) & People Operations","Recruitment, Sourcing, Interview Scheduling, Candidate Screening",Source and screen candidates for specialized roles within the aviation industry. Coordinate interview processes and maintain candidate databases to support recruitment pipelines.
Social Media,UnHR,Delhi,Immediately,6 Months,"₹ 10,000 /month","Consulting Services, IT and Software Development","Social Media & Community Management, Digital Marketing & SEO/SEM","Social Media, HR Branding, Content Creation, Campaigns",Manage social media channels to enhance HR brand awareness and promote employer branding initiatives. Create compelling social content targeting prospective candidates and HR professionals.
Human Resources (HR),Executive Search,Delhi,Immediately,6 Months,"₹ 10,000 /month","Consulting Services, Global Capability Centres (GCCs)","Human Resources (HR) & People Operations, Talent Acquisition & Technical Recruitment","Executive Search, Talent Sourcing, HR Operations, Communication","Assist executive search consultants in mapping talent markets, identifying high-level candidates, and conducting initial outreach. Manage candidate pipelines and update HR tracking systems."
Lead Generation,Vicolo Innovations,Work From Home,Immediately,6 Months,"₹ 1,000-2,000 /month","Consulting Services, IT and Software Development","B2B Sales & Key Account Management, Digital Marketing & SEO/SEM","Lead Generation, Cold Outreach, Data Mining, CRM","Identify and qualify potential business leads through web research, cold emailing, and networking. Maintain and update lead generation databases to support sales teams."
Marketing,Blacktix Technology,Pune,Immediately,6 Months,"₹ 10,000-15,000 /month","IT and Software Development, Consulting Services","Digital Marketing & SEO/SEM, Brand Management & Advertising","Marketing Strategy, Campaign Planning, Market Analysis, Digital Marketing",Support the marketing team in designing and executing promotional campaigns for technology products. Analyze market trends and assist in preparing marketing reports.
Android App Figma Development,Anurag Pathak,Work From Home,Immediately,6 Months,"₹ 1,000 /month","IT and Software Development, Consulting Services","Mobile Application Development, UI/UX & Product Design","Figma, Mobile UI Design, App Prototyping, Android Design","Design user interfaces for Android mobile applications using Figma, ensuring an optimal user experience. Create wireframes and interactive prototypes for developer handoff."
Business Development (Sales),OCTIOT - IPREALM Technologies Private Limited,Noida,Immediately,6 Months,"₹ 5,000 /month",IT and Software Development,"B2B Sales & Key Account Management, Client Relationship Management (CRM)","Lead Generation, Communication, Negotiation, CRM Software","You will be responsible for identifying new business opportunities, reaching out to potential clients, and pitching technology services. Day-to-day tasks include managing sales pipelines, conducting product demonstrations, and maintaining client relationships."
Doubt Solving (Physics),Kunduz Incorporation,Work From Home,Immediately,6 Months,"₹ 5,000-6,000 /month","Media, Entertainment & Education",Learning & Organizational Development (L&D),"Physics, Problem Solving, Communication, Tutoring","You will assist students in understanding complex physics concepts by providing clear explanations and step-by-step doubt resolution. Daily responsibilities include reviewing questions submitted on the platform and crafting accurate, easy-to-understand solutions."
Digital Marketing,Bag Factory,Work From Home,Immediately,6 Months,"₹ 5,000 /month","Textile Manufacturing, Retail & Consumer Durables","Digital Marketing & SEO/SEM, Social Media & Community Management","Social Media Marketing, Content Creation, SEO, Analytics","You will help promote bag products across various digital channels to drive online visibility and sales. Tasks include creating engaging social media content, running digital ad campaigns, and analyzing campaign performance metrics."
